7.1	3	5.9	2.1	3	0.734966414	0.002406232
7.2	3.2	6	1.8	3	0.915195801	0.014371628
7.7	2.8	6.7	2	3	0.278937098	0.024636608
5.5	2.5	4	1.3	2	0.242306257	0.036477837
5	3.3	1.4	0.2	1	0.813400653	0.038083456
5.1	3.8	1.5	0.3	1	0.865688122	0.051959588
5.7	4.4	1.5	0.4	1	0.579110353	0.054758326
6.9	3.1	5.4	2.1	3	0.06466219	0.055139376
6.3	3.3	4.7	1.6	2	0.68026458	0.057922546
4.6	3.4	1.4	0.3	1	0.693531617	0.060094005
5.4	3.7	1.5	0.2	1	0.684142256	0.063267548
6.1	2.9	4.7	1.4	2	0.324307129	0.072360451
6	2.2	4	1	2	0.84002493	0.079005223
6.4	3.2	4.5	1.5	2	0.81578612	0.105761337
5.5	2.6	4.4	1.2	2	0.695184392	0.132598119
6.3	2.3	4.4	1.3	2	0.201033935	0.134476561
6.7	2.5	5.8	1.8	3	0.864103103	0.147330883
5.9	3.2	4.8	1.8	2	0.510950289	0.155350176
6.3	3.3	6	2.5	3	0.809680171	0.155871682
6.5	3	5.5	1.8	3	0.335586834	0.156272279
4.8	3.4	1.9	0.2	1	0.241646281	0.164408818
5.8	2.7	4.1	1	2	0.095721333	0.165048825
5.1	3.7	1.5	0.4	1	0.962771494	0.165072967
4.9	3.1	1.5	0.1	1	0.058375504	0.165490723
6.6	2.9	4.6	1.3	2	0.648608737	0.173114545
5.1	3.5	1.4	0.3	1	0.855070732	0.176285625
6.2	3.4	5.4	2.3	3	0.317022842	0.185108871
6.1	2.6	5.6	1.4	3	0.756146695	0.203626279
5	3.6	1.4	0.2	1	0.202617081	0.203960789
4.7	3.2	1.6	0.2	1	0.986359039	0.211842281
7.9	3.8	6.4	2	3	0.691559822	0.232545481
4.6	3.1	1.5	0.2	1	0.990691868	0.235141621
6.3	2.8	5.1	1.5	3	0.203794385	0.237636643
5.6	3	4.5	1.5	2	0.114940486	0.241056973
5.2	3.4	1.4	0.2	1	0.893164889	0.241155509
5.7	2.8	4.1	1.3	2	0.70868463	0.243417888
7.6	3	6.6	2.1	3	0.375407947	0.254060833
5	3.4	1.5	0.2	1	0.028897515	0.255963581
6.3	2.7	4.9	1.8	3	0.303585568	0.257811769
5.8	4	1.2	0.2	1	0.954844386	0.259258867
5.6	3	4.1	1.3	2	0.946443994	0.264504769
5	3.4	1.6	0.4	1	0.606811667	0.26552235
5.2	4.1	1.5	0.1	1	0.662252735	0.274773529
5.1	3.5	1.4	0.2	1	0.412221425	0.289578944
6.7	3.1	4.4	1.4	2	0.771048031	0.294901193
5.1	3.3	1.7	0.5	1	0.091979769	0.297032857
5	3.5	1.3	0.3	1	0.67517266	0.299257217
6.1	3	4.6	1.4	2	0.667569787	0.303180286
5.1	3.4	1.5	0.2	1	0.503081751	0.309137745
5.9	3	4.2	1.5	2	0.972089095	0.312024206
